system;query;index;selected-ir;;;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;23;998;index;0.001002004;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;24;2350;index;0.0004255319;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;25;35896;index;2.78582571874304E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;26;31062;index;3.21936771618054E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;27;6096;index;0.000164042;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;28;83;index;0.0120481928;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;29;9225;index;0.0001084011;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;30;27459;index;3.64179321898103E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;31;2758;index;0.0003625816;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;32;2384;index;0.0004194631;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;33;861;index;0.0011614402;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;34;16852;index;5.93401376691194E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;35;1790;index;0.0005586592;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;36;1527;index;0.0006548788;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;37;20263;index;0.000049351;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;38;12169;index;0.000082176;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;39;27089;index;3.69153530953524E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;40;1857;index;0.000538503;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;41;121;index;0.0082644628;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;42;1371;index;0.0007293946;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;43;23277;index;4.29608626541221E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;44;16557;index;6.03974149906384E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;45;1177;index;0.0008496177;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;46;11083;index;9.02282775421817E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;47;9532;index;0.0001049098;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;48;6571;index;0.0001521838;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;49;3843;index;0.0002602134;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;50;10240;index;9.765625E-005;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;51;4759;index;0.0002101282;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;52;7321;index;0.0001365934;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;53;4456;index;0.0002244165;
C:\Users\ojcchar\Documents\Temp\ir_proj\LSI;Data\Derby;54;1866;index;0.0005359057;
