system;query;lda;selected-ir;R-Rank;M-R-Rank
Derby;15;261;lda;0.0038314176;
Derby;16;404;lda;0.0024752475;
Derby;17;413;lda;0.0024213075;
Derby;18;403;lda;0.0024813896;
Derby;19;100;lda;0.01;
Derby;20;1536;lda;0.0006510417;
Derby;21;95;lda;0.0105263158;
Derby;22;2147483647;lda;4.6566128752458E-010;
Derby;23;12772;lda;7.82962730974006E-005;
Derby;24;2147483647;lda;4.6566128752458E-010;
Derby;25;13369;lda;7.47999102401077E-005;
Derby;26;2231;lda;0.0004482295;
Derby;27;2280;lda;0.0004385965;
Derby;28;28;lda;0.0357142857;
Derby;29;21184;lda;4.72054380664653E-005;
Derby;30;89;lda;0.0112359551;
Derby;31;3291;lda;0.000303859;
Derby;32;3010;lda;0.0003322259;
Derby;33;1906;lda;0.000524659;
Derby;34;583;lda;0.0017152659;
Derby;35;3742;lda;0.0002672368;
Derby;36;1071;lda;0.0009337068;
Derby;37;2147483647;lda;4.6566128752458E-010;
Derby;38;27544;lda;3.63055474876561E-005;
Derby;39;19453;lda;0.000051406;
Derby;40;1416;lda;0.0007062147;
Derby;41;112;lda;0.0089285714;
Derby;42;864;lda;0.0011574074;
Derby;43;15290;lda;6.5402223675605E-005;
Derby;44;21551;lda;4.64015590923855E-005;
Derby;45;4446;lda;0.0002249213;
Derby;46;2241;lda;0.0004462294;
Derby;47;1697;lda;0.0005892752;
Derby;48;1071;lda;0.0009337068;
Derby;49;451;lda;0.0022172949;
Derby;50;653;lda;0.0015313936;
Derby;51;9280;lda;0.0001077586;
Derby;52;2147483647;lda;4.6566128752458E-010;
Derby;53;1242;lda;0.000805153;
Derby;54;755;lda;0.0013245033;
Derby;55;93;lda;0.0107526882;
Derby;56;49;lda;0.0204081633;
Derby;57;87;lda;0.0114942529;
Derby;58;2147483647;lda;4.6566128752458E-010;
Derby;59;2147483647;lda;4.6566128752458E-010;
Derby;60;2147483647;lda;4.6566128752458E-010;
Derby;61;138;lda;0.0072463768;
Derby;62;176;lda;0.0056818182;
Derby;63;160;lda;0.00625;
Derby;64;814;lda;0.0012285012;
Derby;65;878;lda;0.0011389522;
Derby;66;615;lda;0.0016260163;
Derby;67;10256;lda;9.75039001560062E-005;
Derby;68;3075;lda;0.0003252033;
Derby;69;235;lda;0.0042553191;
Derby;70;748;lda;0.0013368984;
Derby;71;1508;lda;0.00066313;
Derby;72;969;lda;0.0010319917;
Derby;73;401;lda;0.0024937656;
Derby;74;5;lda;0.2;
Derby;75;7352;lda;0.0001360174;
Derby;76;2147483647;lda;4.6566128752458E-010;
Derby;77;2243;lda;0.0004458315;
Derby;78;2147483647;lda;4.6566128752458E-010;
Derby;79;1402;lda;0.0007132668;
Derby;80;1897;lda;0.0005271481;
Derby;81;3712;lda;0.0002693966;
Derby;82;718;lda;0.0013927577;
Derby;83;835;lda;0.0011976048;
Derby;84;96;lda;0.0104166667;
Derby;85;452;lda;0.0022123894;
Derby;86;346;lda;0.0028901734;
Derby;87;227;lda;0.0044052863;
Derby;88;941;lda;0.0010626993;
Derby;89;1638;lda;0.0006105006;
Derby;90;808;lda;0.0012376238;
Derby;91;21713;lda;4.60553585409662E-005;
Derby;92;15779;lda;6.33753723303124E-005;
Derby;93;2147483647;lda;4.6566128752458E-010;
Derby;94;1353;lda;0.0007390983;
Derby;95;2944;lda;0.0003396739;
Derby;96;2265;lda;0.0004415011;0.0043219871
Adempiere;1;3002;lda;0.0003331113;
Adempiere;2;811;lda;0.0012330456;
Adempiere;3;2147483647;lda;4.6566128752458E-010;
Adempiere;4;261;lda;0.0038314176;
Adempiere;5;40;lda;0.025;
Adempiere;6;381;lda;0.0026246719;
Adempiere;7;126;lda;0.0079365079;
Adempiere;8;161;lda;0.0062111801;
Adempiere;9;146;lda;0.0068493151;
Adempiere;10;2147483647;lda;4.6566128752458E-010;
Adempiere;11;2147483647;lda;4.6566128752458E-010;
Adempiere;12;52;lda;0.0192307692;
Adempiere;13;312;lda;0.0032051282;
Adempiere;14;3;lda;0.3333333333;
Adempiere;15;43;lda;0.023255814;
Adempiere;16;917;lda;0.0010905125;
Adempiere;17;431;lda;0.0023201856;0.0256738232
ATunes;1;2147483647;lda;4.6566128752458E-010;
ATunes;2;171;lda;0.0058479532;
ATunes;3;400;lda;0.0025;
ATunes;4;285;lda;0.0035087719;
ATunes;5;2147483647;lda;4.6566128752458E-010;
ATunes;6;2147483647;lda;4.6566128752458E-010;
ATunes;7;46;lda;0.0217391304;
ATunes;8;824;lda;0.0012135922;
ATunes;9;371;lda;0.0026954178;
ATunes;10;401;lda;0.0024937656;
ATunes;11;8;lda;0.125;
ATunes;12;8;lda;0.125;
ATunes;13;540;lda;0.0018518519;
ATunes;14;28;lda;0.0357142857;
ATunes;15;2147483647;lda;4.6566128752458E-010;
ATunes;16;2147483647;lda;4.6566128752458E-010;
ATunes;17;2147483647;lda;4.6566128752458E-010;0.019268516
Mahout;526;794;lda;0.0012594458;
Mahout;552;468;lda;0.0021367521;
Mahout;561;8;lda;0.125;
Mahout;564;21;lda;0.0476190476;
Mahout;565;33;lda;0.0303030303;
Mahout;569;2147483647;lda;4.6566128752458E-010;
Mahout;576;450;lda;0.0022222222;
Mahout;580;2147483647;lda;4.6566128752458E-010;
Mahout;583;276;lda;0.0036231884;
Mahout;602;112;lda;0.0089285714;
Mahout;604;1690;lda;0.000591716;
Mahout;610;164;lda;0.006097561;
Mahout;614;112;lda;0.0089285714;
Mahout;625;104;lda;0.0096153846;
Mahout;630;39;lda;0.0256410256;
Mahout;632;2147483647;lda;4.6566128752458E-010;
Mahout;641;254;lda;0.0039370079;
Mahout;678;141;lda;0.0070921986;0.0157219847
