system;query;lda;selected-ir;R-rank;M-R-rank
Derby;66;820;lda;0.0012195122;
Derby;67;15501;lda;0.000064512;
Derby;68;5970;lda;0.0001675042;
Derby;69;1561;lda;0.000640615;
Derby;70;426;lda;0.0023474178;
Derby;71;904;lda;0.0011061947;
Derby;72;584;lda;0.0017123288;
Derby;73;324;lda;0.0030864198;
Derby;74;25;lda;0.04;
Derby;75;6028;lda;0.0001658925;
Derby;76;2147483647;lda;4.6566128752458E-010;
Derby;77;1432;lda;0.000698324;
Derby;78;2147483647;lda;4.6566128752458E-010;
Derby;79;1660;lda;0.0006024096;
Derby;80;2228;lda;0.000448833;
Derby;81;4603;lda;0.0002172496;
Derby;82;1059;lda;0.0009442871;
Derby;83;1195;lda;0.0008368201;
Derby;84;657;lda;0.00152207;
Derby;85;244;lda;0.0040983607;
Derby;86;218;lda;0.004587156;
Derby;87;149;lda;0.0067114094;
Derby;88;382;lda;0.002617801;
Derby;89;1188;lda;0.0008417508;
Derby;90;590;lda;0.0016949153;
Derby;91;21413;lda;4.67006024377714E-005;
Derby;92;19674;lda;5.08285046253939E-005;
Derby;93;9976;lda;0.0001002406;
Derby;94;1599;lda;0.0006253909;
Derby;95;3356;lda;0.0002979738;
Derby;96;2396;lda;0.0004173623;0.002230391
Adempiere;1;312;lda;0.0032051282;
Adempiere;2;299;lda;0.0033444816;
Adempiere;3;2147483647;lda;4.6566128752458E-010;
Adempiere;4;188;lda;0.0053191489;
Adempiere;5;44;lda;0.0227272727;
Adempiere;6;277;lda;0.0036101083;
Adempiere;7;109;lda;0.0091743119;
Adempiere;8;84;lda;0.0119047619;
Adempiere;9;170;lda;0.0058823529;
Adempiere;10;2147483647;lda;4.6566128752458E-010;
Adempiere;11;2147483647;lda;4.6566128752458E-010;
Adempiere;12;387;lda;0.0025839793;
Adempiere;13;296;lda;0.0033783784;
Adempiere;14;140;lda;0.0071428571;
Adempiere;15;19;lda;0.0526315789;
Adempiere;16;1436;lda;0.0006963788;
Adempiere;17;438;lda;0.002283105;0.0077657708
ATunes;1;2147483647;lda;4.6566128752458E-010;
ATunes;2;462;lda;0.0021645022;
ATunes;3;2147483647;lda;4.6566128752458E-010;
ATunes;4;558;lda;0.0017921147;
ATunes;5;2147483647;lda;4.6566128752458E-010;
ATunes;6;2147483647;lda;4.6566128752458E-010;
ATunes;7;76;lda;0.0131578947;
ATunes;8;428;lda;0.0023364486;
ATunes;9;222;lda;0.0045045045;
ATunes;10;478;lda;0.0020920502;
ATunes;11;4;lda;0.25;
ATunes;12;3;lda;0.3333333333;
ATunes;13;612;lda;0.0016339869;
ATunes;14;35;lda;0.0285714286;
ATunes;15;2147483647;lda;4.6566128752458E-010;
ATunes;16;336;lda;0.0029761905;
ATunes;17;2147483647;lda;4.6566128752458E-010;0.0377977916
Mahout;526;1168;lda;0.0008561644;
Mahout;552;335;lda;0.0029850746;
Mahout;561;11;lda;0.0909090909;
Mahout;564;10;lda;0.1;
Mahout;565;34;lda;0.0294117647;
Mahout;569;2147483647;lda;4.6566128752458E-010;
Mahout;576;669;lda;0.0014947683;
Mahout;580;2147483647;lda;4.6566128752458E-010;
Mahout;583;258;lda;0.003875969;
Mahout;602;125;lda;0.008;
Mahout;604;1667;lda;0.00059988;
Mahout;610;491;lda;0.0020366599;
Mahout;614;287;lda;0.0034843206;
Mahout;625;59;lda;0.0169491525;
Mahout;630;24;lda;0.0416666667;
Mahout;632;610;lda;0.0016393443;
Mahout;641;438;lda;0.002283105;
Mahout;678;2147483647;lda;4.6566128752458E-010;0.0170106646
